ID	representative	rotation_matrix	rotation_type
121210	1A0P_A_3_100	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
100002	1A6D_A_17_145	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
3	1A6D_A_146_212	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
1	4IYE_A_1_65	(1, 0, 0, 0, 1, 0, 0, 0, 1)	automatic
